[00:24:48] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-131, y=33, z=-243} gt{x=-131, y=33, z=-245}
[00:24:48] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-131, y=33, z=-243} gt{x=-131, y=33, z=-245}
[00:24:48] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-131, y=33, z=-243} gt{x=-131, y=33, z=-245}
[00:28:43] [Server thread/INFO]: Villager btp['Farmer'/12443, l='ServerLevel[xs1nuFox]', x=-182.24, y=86.25, z=-39.66] died, message: 'Farmer burned to death'
[01:26:17] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1092, y=14, z=-2003} gt{x=-1093, y=13, z=-2004}
[01:26:22] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1094, y=16, z=-2005} gt{x=-1093, y=16, z=-2005}
[01:26:22] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1094, y=16, z=-2005} gt{x=-1093, y=16, z=-2005}
[01:26:22] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1094, y=16, z=-2005} gt{x=-1093, y=16, z=-2005}
[01:26:22] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1094, y=16, z=-2005} gt{x=-1093, y=16, z=-2005}
[01:26:22] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1094, y=16, z=-2005} gt{x=-1093, y=16, z=-2005}
[01:26:22] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1094, y=16, z=-2005} gt{x=-1093, y=16, z=-2005}
[01:26:22] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1094, y=16, z=-2005} gt{x=-1093, y=16, z=-2005}
[01:26:22] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1094, y=16, z=-2005} gt{x=-1093, y=16, z=-2005}
[01:26:27] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1089, y=18, z=-2010} gt{x=-1090, y=18, z=-2010}
[01:26:54] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1075, y=25, z=-2005} gt{x=-1091, y=10, z=-1993}
[01:27:23] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
[01:27:23] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
[01:27:23] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
[01:27:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
[01:27:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
[01:27:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
